sessionId,timestamp,x,y,z,ppgValue,hr,hrIbi,hrStatus,ibiStatus,notification,engagement,affect,context,squared_sum,affect_ANGRY,affect_HAPPY,affect_RELAXED,affect_SAD
41,1986251,-162.5,-543.5,4090.0,2134405.5,74.0,,,,,,RELAXED,,17049898.5,0,0,1,0
41,2496230,-504.5,-174.5,4070.5,1980220.0,64.0,,,,,,RELAXED,,16853940.75,0,0,1,0
41,3685179,-386.0,655.0,4208.5,1981824.5,87.0,,,,,,HAPPY,,18289493.25,0,1,0,0
41,6502942,-93.0,558.5,4323.0,2177870.5,82.0,,,,,,RELAXED,,19008900.25,0,0,1,0
41,7912550,-375.6666666666667,-348.6666666666667,4125.0,2417784.3333333335,71.0,,,,,,RELAXED,,17278318.888888888,0,0,1,0
42,485592,-123.0,280.5,3877.0,2374975.0,85.0,,,,,,ANGRY,,15124938.25,1,0,0,0
42,1010128,1229.0,491.0,4030.0,2441239.0,85.0,,,,,,HAPPY,,17992422.0,0,1,0,0
42,1807803,-599.0,944.0,3910.5,2245102.0,94.0,,,,,,RELAXED,,16541947.25,0,0,1,0
42,2341569,390.0,-295.0,3995.0,2164627.5,0.0,,,,,,SAD,,16199150.0,0,0,0,1
42,3662361,1128.0,-3615.0,1461.5,1792616.0,0.0,,,,,,HAPPY,,16476591.25,0,1,0,0
42,5592011,532.5,-61.0,4599.0,2221394.0,0.0,,,,,,HAPPY,,21438078.25,0,1,0,0
42,7030331,166.0,-672.5,3972.5,2575326.5,0.0,,,,,,HAPPY,,16260568.5,0,1,0,0
43,471088,133.5,-687.5,4000.5,2552467.5,0.0,,,,,,HAPPY,,16494478.75,0,1,0,0
43,1027011,-54.0,-861.0,4031.5,2022776.5,0.0,,,,,,HAPPY,,16997229.25,0,1,0,0
43,1903849,92.0,-543.5,4012.0,3096405.0,0.0,,,,,,RELAXED,,16400000.25,0,0,1,0
